0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
658,care benedryl first generat antihistamin associ signific sedat  other second generat much less sedat  take benedryl bedtim may okay  day  slow reaction time potenti decreas abil function 658,ok take benadryl treat allergi ive tri zyrtec claritin dont work 658,pink eye  breathless 658,constip  sleepi  dri mouth  drowsi  hypersensit  urinari retent  child allergi  loratadin  sleep  dri eye
659,wheez wheez asthma  wheez whistl sound produc air pass partial obstruct air passag  caus asthma  bronchiti  bronchiol  pneumonia  foreign bodi  copd  cancer  anaphylaxi etc  vocal cord dysfunct  also mimic asthma  asthma present even without wheez alway easi diagnos 659,asthma would caus wheez 33 yr old girl allerg asthma 659,milk allergi 659,bronchiti  asthma  bronchospasm  inflamm  wheez  foreign bodi  copd
660,suffer alreadi return surgeon offic examin treatment  pleas call 660,why10day wisdom teeth surgeri pain2 lump jaw side hurt 2touch still cant open mouth hurt 2 put pressur teeth numb   lip chin etc 660,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 660,numb  surgeri  wisdom teeth
661,better treatment  take klonopin oxycodon  risk becom addict combo  cymbalta good  gabapentin address neuropath pain well  pain clinic give region block use ten unit control pain 661,take cymbalta neuropathi  take 2 mgs klonopin anxieti ive take one 5mg oxycodon pain day take pain amount cconsid safe day 661,general anxieti disord  bipolar disord adult  geriatr psychiatri  posttraumat stress disord 661,addict  feel anxious  neuropathi  nerv damag  panic attack  benzodiazepin  oxycodon  oxyir  klonopin  roxicodon
662,discuss ob gyn doctor  that correct thing 662,34 wks pregnant  prescrib augmentin sinus infect read studi drug caus necrot enterocol 662,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 662,sinus  necrot enterocol  pregnanc  augmentin  amoxicillin clavulan
663,copd certain could  depend medic social histori  smoker 663,chest xray show low moder air trap copd 663,diabet risk  loss vision 663,xray chest  copd
664,contracept use contracept use  period simpli delay   see obgyn md rule pregnanc 664,sexual activ miss period 8 day  took 3 pregnanc test said negat  wouldnt  get period 664,contracept  cancer  endometriosi 664,pregnanc  menstrual period
665,absolut    need surgeri depend degre imping compress nerv root  neurologist neurosurgeon recommend surgeri set motor impair weak  sever pain debilit numb  exam nerv conduct studi find suggest progress process  work doctor  physic therapist  pain manag first 665,disc herniat s1 l5   surgeri option   disc  fuse 665,stroke  epilepsi  dementia  enceph  multipl sclerosi 665,herniat disk  surgeri
666,global declin frustrat situat  inform prior test examin help  howev evalu system autoimmun vascular condit  chronic infecti process brain demyelin degener condit  major depress though consider dose caus fever 666,wont someon tell what wrong help night sweat 100 fever alway hair fall sore head leg heavi pain  cant catch breath alway tire  memori go  pain lump shoulder 666,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 666,fever  night sweat  hair loss  memori  sweat night
667,need evalu problem need physic evalu  internet guess  procrastin call local dentist start process 667,excruci pain right side mouth  throb jaw pain  tooth ach  sore gum   facial swell  lip numb  low grade temp 667,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 667,tooth pain  jaw pain  numb  facial swell  facial
668,infect assum throat infect bacteri tooth doctor prescrib appropri antibiot regimen  infect begin resolv within coupl day  howev  hope also receiv necessari dental treatment address tooth infect  antibiot alon elimin caus dental infect 668,tooth infect caus swollen gland one side throat start penicillin throat go back normal 668,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 668,dental abscess  dental care
669,appli pressur place wad gauz gum bite appli pressur area least 30 minut 669,wisdom tooth extract 2 hrs ago cant stop bleed sinc mouth full blood dentist say normal big headach 669,diabet  women health  hyperlipidemia  hypertens 669,headach  tooth extract  wisdom tooth extract
670,possibl unfortun realli good way tell without examin  herp usual caus pain sore itch  tri see doctor fair soon herp cultur accur first day outbreak 670,itch insid around vagina small bump feel sore wit larger bump herp 670,nan 670,herp  std  chlamydia infect  candida  std prevent
671,yes colonoscopi fulli evalu colon  includ whether diverticulosi present 671,surgeon scope  test recent colostomi remov revers   test reveal sign diverticul  know show pollyp etc 671,bph  cancer  lose weight 671,diverticul  inflamm  cancer  polyp  colostomi
672,various possibiliti wart  cyst  even skin cancer  without actual examin  cannot give specif medic advic particular health dermatolog condit particular hard evalu without see person  big big point though: everi singl caus mention     treatabl 672,found pea size lump outsid vagina bottom  could br sore red 672,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 672,nan
673,wait ct make treatment plan 673,right lower back pain urin test specif graviti 1 030 blood modern  ph 5 5 urobilinogen 2mg dr said possibl kidney stone   wait ct 673,rho immun globulin  microscop urinalysi  blood bank  hematolog  mrsa qualit 673,back pain  kidney stone  nephrolithiasi  low back pain  pain back  kidney stone  comput tomographi  urin
674,nope u pain heal  least proper 674,4 metatars fractur  wore cast 4 week  remov doctor told heal  normal pain  cant walk proper 674,plantar fasciiti  diabet foot  neuroma 674,cast
675,offic visit recommend see physician complet thorough exam evalu  also see dentist exam xray  togeth abl resolv issu  last medic dental checkup 675,suffer migrain  palinopsia  vertigo  nausea  pain joint  fatigu  dri mouth burn tongu  swollen salivari gland throat help 675,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 675,dri mouth  dizzi  nausea  pain joint  migrain headach  burn mouth syndrom  lethargi  migrain  salivari gland  vertigo
676,long         dont smoke anymor theyr born  smoke anyth bad potenti even wors first trimest  take extra extra care ingest thing bodi least first 13 week entir pregnanc prevent complic difficulti child cannot control may abl much later life 676,quit smoke marijuana 9 week pregnant  babi born thc system 676,dizzi  headach  anxieti  vertigo  migrain  sleep  tingl  pain back  migrain headach  numb  stroke  seizur  lightheaded  stress  multipl sclerosi  tremor  cerebr vascular accid  exercis  dementia  stress headach 676,smoke  pregnanc  quit smoke  tobacco cessat  marijuana  ganja  cannabi
677,sever factor yes depend bone fractur  align bonedisplac  radiograph sign heal  much long weight bear 677,4 align foot fractur surgeri  doctor remov fiberglass cast 3rdweek xray  prescrib walk boot  earli 677,surgeri  laser therapi 677,walk boot  surgeri  roentgen ray  cast
678,infraclavicular lesion essenti lymph node origin  axillari node attain 3 level spread  level 1 palpabl  node note infraclavicular region like rotter node  interpector node usual breast origin spread cutan lesion tumor spread abdomen  pelvi usual go virchow node l  supraclavicular region 678,besid breast cancer lymphoma  els caus hard  immov  nontend lump collarbon area infraclavicular node left side thx 678,nan 678,breast cancer  breast carcinoma  cancer  lymphoma
679,dr  lewi correct gargl dont haggl caffein free tea avail everywher go store  warm water bit lemon healthi teaspoon honey suffic short term  best luck 679,kid swollen glan aka sore throat  use hate haggl salt water  caffein free tea 679,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 679,sore throat  throat pain  fever  high fever  immun diseas  protein  honey  sodium  children  caffein
680,would see dermatol exam  possibl biopsi cultur  treament option 680,reoccur 1 canker sore spot  got test herp 2 month ago came back negat 680,dermatolog  skincar  botox  cosmet surgeri  age grace  juvederm  medic research  er:yag laser  neck liposuct  nd:yag laser  laser peel  yag laser  co2 laser  skin cancer surgeri 680,herp  canker sore  aphthous stomat
681,blood pressur sound like might develop low bp get  call orthostat hypotens mani possibl caus  time doctor visit 681,everi time stand vision blur get dark  feel weak everywher head start heat   get dizzi well 681,seizur  seizur disord  epilepsi  epilept seizur  convuls  multipl sclerosi  neurolog  syncop 681,dizzi  vision  feel faint
682,everybodi least one palpabl lymph node neck  yore describ normal neck exam  stop worri thank good health 682,moveabl painless lump front neck r ear chin  symptom  5 plus year   worri cancer 682,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 682,cancer
683,pregnant possibl  sinc pain think might pregnant  go ahead pregnanc test  pregnant still pain  go er dr right away make sure dont ectop pregnanc 683,hi six day sinc sex  lower part stomach sore almost like bad cramp  dizzi could pregnant 683,diabet  heart attack  irregular menstrual period  home pregnanc test  integr medicin  irregular bleed  testosteron  gluten free diet  improv mental health  babi care  fibromyalgia  cough  sleep  yeast infect  testoderm  stroke  nutrit  glucos  supplement  vitamin 683,dizzi  pregnanc  sex
684,dentalinfection respond nowget second opinion er evalu  certain call dentist extract 684,3 week sinc infect tooth pull swollen gland jaw 2 month day 4 clindamycin final reduc inflamm mani day normal 684,dizzi  back pain  allergi  blister  diabet type 2  depress  amoxil  anxieti disord  asthma  streptococc infect  aerob exercis  depress adult  telemedicin  essenti hypertens  primari care facil 684,inflamm  tooth extract  clindamycin  cleocin
685,sleep studi  eeg normal done sleep disord  eeg done evalu epilepsi seizur  sleep studi help evalu sleep disord sleep apnea  parasomnia  insomnia sometim special sleep studi eeg done peopl seizur sleep  primari doc may abl get screen sleep studi home 685,could sleep studi substitut eeg sleep problem ent doctor didnt suspect osa 685,seizur  multipl sclerosi  neuropathi  nerv damag  live al 685,insomnia  snore  sleep  sleep studi  snore  ent head neck surgeri  eeg  ear nose throat
686,reevalu long ago last check even last week  someth differ today caus swell  trap food particl loos fill piec calculus undetect problem dentist take look 686,dull ach back top two teeth slight swell  alreadi wisdom teeth everyth clear last checkup anyth worri 686,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 686,dental care
687,unprotect sex consid sever things: first get pregnanc test  second  truli consid use birth control pill last  sexual partner use condom  unprotect sex ultim get prgenant old enough frequent intercours  old enough birth control  respons 687,boyfriend sex 7 19  7 23  7 24 ovul  cramp light spot extrem bloat pregnant 687,dizzi  back pain  allergi  blister  diabet type 2  depress  amoxil  anxieti disord  asthma  streptococc infect  aerob exercis  depress adult  telemedicin  essenti hypertens  primari care facil 687,abdomin bloat  ovul  pregnanc  sex
