0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
692,yes  cancer begin cellular level may take sever year get larg enough visual mammogram 692,dr check ferritin level vitamin hemaglobin bit see health ok 692,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 692,ferritin
693,fractur tooth fill caviti  caviti get larger tooth becom weaker  point  caviti reach nerv caus pain possibl infect  caviti get larg enough tooth fractur  fractur occur along root tooth tooth may need remov 693,exact macular degener 693,nan 693,macular degener  vision loss  vision  retina
694,tmj sound like tmj syndrom  often tmj patient suffer tinnitus  ear ring  anatom joint close ear canal sea pay thin piec bone  often peopl tmj issu also ear symptom well  need get comprehens dental exam someon train area  googl pankey institut fine dentist area 694,differ macular degener agerel macular degener 694,tmj syndrom  dental implant  cosmet dentistri  oral rehabilit  occlus 694,age relat macular degener  macular degener
695, rare  rare develop yeast infect sex  rare develop irrit feel like yeast infect frequent sex  see inform http:  www womenshealth gov public ourpubl factsheet vaginalyeastinfect html 695,uti symptom day today period came    sexual activ  what wrong 695,seizur  multipl sclerosi  neuropathi  nerv damag  live al 695,urinari tract infect  menstrual period  menstrual cycl
696,nerv injuri could swell press nerv send pain leg 696,sternum feel tight littl ach cant seem fill lung also ach lean head back sometim make cough 696,wart  toenail  ingrown toenail  athlet foot  plantar fasciiti  plantar wart  toenail fungus 696,cough
697,nerv compress believ  symptom sound like nerv compress  like attend help support leg provid much pressur flexion  give anoth week see notic improv  howev  notic increas weak numb  call doc right away evalu  doubt epidur caus symptom 697,interv numb burn hand feet lower leg  seem progress consist  idea caus 697,femal health  healthi pregnanc  mens  contracept  intrauterin devic  sonogram  normal childbirth  bleed  surgeri  repeat ultrasound  laparoscop surgeri  cesarean section  diabet  pap smear  hysteroscopi  high risk pregnanc  cervic biopsi use loop electrosurg excis procedur  diabet onset pregnanc  femal steril surgeri 697,numb
698,rapid strep test may benefit see pmd test rule strep throat 698,light headach mid forehead  sore hip low back   101f fever 1 day  troubl sleep last 4 day  1 swollen tonsil last 4 month   anyth 698,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 698,insomnia  sleep disturb  fever  headach  hip pain  sleep
699,yes chang level serotonin  high low  also known caus multipl skin problem  includ rash  twitch  wrinkl sag 699,sister 4month pregnant  pass sudden often  keton  sugar blood pressur normal  what caus 699,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 699,sugar  pregnanc  keton  blood pressur
700,gallbladd problem gb pain often upper right abdomen  occasion refer right shoulder  avoid fri  fatti  greasi food  one high cholesterol like egg  make appt fp general surgeon mani laparoscop cholecystectomi small incis  quicker recoveri time   unless complic  doc may advis watch wait surgeri becom necessari 700,everi time eat bell pepper get bad stomach cramp diarrhea  food intoler 700,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 700,stomach cramp  diarrhea  loos stool  food intoler  nutrit
701,issu pleas tell us exact issu  b12 supplement use certain condit  cure  said  also fair harmless  hurt even take without realli need 701,vitamin take increas chanc conceiv current b6 folic acid 701,vitamin defici  vitamin supplement  vitamin b12  hypothyroid  underact thyroid  celiac diseas  gluten free diet  depress  mthfr dna mutat  homocystein  chronic fatigu  lyme diseas  magnesium defici  integr medicin  hyperthyroid  magnesium sulfat  hashimoto thyroid  triiodothyronin  revers rt3  magnesium rbc 701,vitamin b6  folvit  folic acid  folat
702,necessarili general  better cultur order identifi bacteria ensur sensit antibiot chosen  possibl noninfecti problem caus symptom similar uti  symptom resolv cours antibiot probabl return urin cultur prior treatment 702,much sex caus yeast infect sex 2 3 time day young newlyw  pee prevent uti 702,pap smear  hysterectomi  normal childbirth  laparoscop surgeri 702,yeast infect  urinari tract infect  sexual intercours  urin  yeast  urin  sex  micturit  candida
703,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 703,er doc said 18mnth old handfootmouth diseas bump around mouth hand feet top bottem arm leg buttock scalp 703,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 703,hand foot mouth diseas
704,mcrocyt anemiaa get b12 folat level check first  later may need work eg pernici anemia 704,tsh 1 37 t4 6 9 t3 0 99  jave hypothyroid  constant tire  weight gain  falljng hair  ach muscl 704,chest pain  pneumonia  copd  cancer 704,weight gain  underact thyroid  hashimoto thyroid  grave diseas  autoimmun diseas  hypothyroid  ach muscl  thyroid stimul hormon  t3  liothyronin
705,enlarg averag person age three palpabl lymph node neck  stabl  preposter enlarg e   peopl arent say  what neck  yod favor go life  seem otherwis healthi  real concern serious ill hodgkin would symptomat 705,neck lump itmi throat sore  puffi  doctor said swollen lymph node took soft tissu scannothin show cancer 705,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 705,sore throat  swollen gland  enlarg lymph node  cancer
706,potenti although sound like end begin cycl potenti mid cycl ovual  abnorm discharg abnorm smell recommend see healthcar provid  bath frequent get rid smell like work 706,appt schedul vagin discharg   slight odor  bad itch burn around prepuc clitori burn urin  std mayb 706,infertil  minim invas surgeri  menopaus 706,std  sexual transmit diseas  sexual transmit infect  vagin discharg  urin  urin  micturit
707,may cold sinc fever chill see physician check someth may need treatment 707,histori lung congest phlem childhood drink smthing cold im like get sore throat cough fever improv lung resist 707,cough  sore throat  throat pain  dizzi  surgeri  sleep  earach  flu  sinus pain  thyroid nodul  septoplasti 707,throat pain  sore throat  cough  fever  product cough  children
708,necessarili groin pain could primarili spinal problem  also may core muscl imbal due compens pain caus disc diseas  proper evalu  mri help figur  physic therapi may also help situat  hope help 708,grade2 spondylolisthesi l5 s1  circumferenti disc buldg  minim narrow neural formina  disc buldg imping s1  caus hip pain 708,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 708,nan
709,cough sever reason prolong cough  sever infect caus cough  infect viral antibiot dont help  cough last sever day week infect  also allergi symptom caus cough  sever gerd caus cough  also malign caus cough  would unlik  probabl need seen pcp 709,hard breath  chest xray clear never heard back dr  advair help  still need take big inhal breath  smoke  lung cancer 709,hypertens  hospic care  diabet  weight loss program  geriatr 709,cancer  lung cancer  difficulti breath  smoke  roentgen ray  xray chest
710,dont neglect young  lump especi newli discov one breast around breast check  see physician check clinic need mammographi famili histori yes  even urgenc 710,tell normal lump guy nippl vs  symptom male breast cancer 710,surgeri  varicos vein  vein  spider vein  sonogram  varicos vein leg  sclerotherapi  ultrasound extrem vein  superfici thrombophleb  leg surgeri 710,breast cancer  breast carcinoma  cancer  male breast cancer  femal health
711,medic  tonsillectomi pain adult  prescrib strong narcot pain medic  pain persist week  id someon look tmj  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 711,urin tube peni itchingburn medicin inus 711,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 711,std  urin
712,heart murmur pediatrr cardiologist 712,take warfarin heart  hepc n cirohsi  gall stone   take walnut 712,puberti  inflamm thyroid  antithyroid medic  prolactin  children health  pediatr  cancer  yeast infect  testosteron  growth hormon  nasal  polycyst ovarian syndrom  late puberti  poor growth 712,hepat c  warfarin  gallston  coumadin
713,know etiolog gbms  believ seri mutat affect certain growth factor still defin  dataexperiment epidemiologicalthat demonstr relationship stress develop gbms 713,im scare might cancer  look googl  lump behind ear throat kinda tightish   also pain neck   serious worri much think might anxieti cancer  im young tee 713,cancer  brain injuri  arterioven malform  glioblastoma  tbi 713,feel anxious  cancer  anxieti
714,followup pleas see doctor evalu  miss cancer unlik need find reason pain  proper perform thorac spine mri read qualifi radiologist clear actual vertebr bodi  depend field view  area chest seen  chest xray fine screen tool chest ct may help view entir chest back 714,mom cough 2wks  chest x ray ok mani crack blood vessel eye  infect  cough  danger 714,cancer  ct scan  pet scan  femal health  child health  breast cancer  hida scan  breast carcinoma  healthi pregnanc  mri scan  back pain  lung nodul  bone scan  nuclear medicin  nuclear scan  patient communic 714,cough  eye health  xray chest
715,mammo vs ultrasound mammogram low dose xray breast  ultrasound util sound wave generat imag  mammo current standard care screen  ultrasound adjunct problem solv role 715,one nippl sudden seem larger notic visibl vein breast im 39 pregnant get mammogram asapcanc 715,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 715,cancer  pregnanc  digit mammogram  mammogram  ultrasound breast
716,unlik may want easili remov  best  enjoy babi 716,daughter 3 month old exclus breast feed  bad uterin cramp period  normal 716,bipolar disord 716,breastfeed
