0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
451,necessari although ankl sprain may swollen pain  usual rest  ice brace may suffic  tri compress wrap simpl ankl brace 12 week  pain swell get wors  see doctor referr  possibl imag studi see injuri serious sprain  hope help   pleas vote follow  thank 451,leg red almost like sunburn  knee ankl arent swollen  dont hurt 451,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 451,sunburn  allerg reaction  allergi  cellul  circul
452,meniscus cartilag knee joint  medial later meniscus sit side side  ligament hold everyth togeth  dont know what go knee  lock bent hurt lot probabl problem meniscus  ligament tear  also possibl small tibial plateau fractur  id find get proper treatment 452,excedrin migrain taken daili constant bad headach affect right eye doctor said eye look fine 452,dizzi  headach  seizur  seizur disord  depress  migrain  epilepsi  memori  vitamin b12  head injuri  head trauma  traumat nerv injuri  traumat brain injuri  aphasia 452,headach  migrain headach  migrain  ophthalmolog
453,patella femor pain front knee cap  like patella femor pain syndrom chondromalacia patella  best manag exercis strengthen quad improv track  avoid deep knee bend activ  also oral topic nsaid benefit  well brace  inject cortison hyaluron acid also popular  els fail  scope 453,tear acl  mcl knee cap disloc  x3week later still cant bend knee past 45*  ive disloc b4 cant rememb recoveri last4ev 453,nan 453,disloc  patellar disloc  mri scan  autonomi  sport medicin
454,yes yes common symptom  also tinnitus ring ear  dizzi sever enough make walk difficult  nausea uncomfort well  hope help 454,studi much sleepless lead headach like pressur head nervous insomia dizzi  counsult physician 454,nan 454,insomnia  dizzi  headach  feel anxious  nervous  anxieti  caffein  amphetamin  vertigo  exercis
455,possibl sometim  urin test take littl turn pregnant  tri conciev  would recheck urin 57 day  otherwis  symptom may associ hormon chang event pms 455,symptom ovarian cyst ectop pregnanc nausea pain left pelvic area pressur tight  unbotton jean 455,femal health  healthi pregnanc  contracept  ectop pregnanc  bleed  normal childbirth  uterin fibroid  abort  toxemia  gestat hypertens  vagin  hiv aid pregnanc  pelvic pain period  pelvic pain 455,nausea  ectop pregnanc  pelvic pain  ovarian cyst  femal health  healthi pregnanc  pregnanc  pregnanc test  ruptur
456,fine needl biopsi  core biopsi usual perform prior surgeri lesion visibl imag studi  specif preoper diagnosi  benign  elimin unnecessari surgeri  malign  allow proactiv treatment plan definit surgic procedur  elimin potenti second surgeri 456,prophylact antibiot requir patient heart valv surgeri open incis procedur breast core biopsi 456,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 456,valv  surgeri  prophylact antibiot  incis  heart valv surgeri  biopsi  antibiot
457,mayb new research indic one form hormon receptor negat breast cancer aka tripl negat found stress independ risk factor type breast cancer  breast cancer 15% breast cancer  littl known treat rather benign look mammogram ultrasound dcis invasiveor realli breast cancerbut becom ca 457,often vagin birth caus incontin pelvic organ prolaps common problem normal birth 457,breast cancer  sarcoidosi  lose weight  stress  breast implant 457,stress  stress incontin  incontin  children  vagin birth  femal health
458,rare young peopl unless familail polyposi 458,ldl 131 mg dl  hdl 54 mg dl trig 115 mg dl  eat plenti fruit veget  exercis  dont smoke drink bmi 21 458,nan 458,intraventricular hemorrhag  hdl  ldl  exercis  bodi mass index  bmi
459,get hernia fix start work take control health 459,open inguin hernia surgeri 3 week ago told surgeon lift anyth 30 lbs  two day ago  lift groceri bag weigh 15 lbs  affect anyth 459,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 459,groin hernia  lump groin  hernia  inguin hernia  hernia surgeri  hernia repair  inguin hernia surgeri  surgeri
460,let find pain neuropathi first  seen neurologist test caus neuropathi metro phoenix top tier neurologist thank barrow mayo  accur identifi caus first  best treatment  small fiber neuropathi diabet plexopathi b12 alcohol etc  gabapentin lyrica act near ident  dose optim 460,small fiber neuropathi im take 900 mg gabapentin foot pain  help  what chanc max dose help 460,dementia  depress  bipolar disord  panic attack  frontotempor dementia  tempor lobe epilepsi  alzheim diseas  cataton rigid  catatonia  delirium  neuropsychiatri 460,foot pain  nerv damag  neuropathi  neurontin  lyrica  gabapentin  pain manag  fiber
461,appropri physic physic therapi direct restor full rangeofmot appropri first 6 12 week follow microfractur surgeri particular fix flexion contractur limit flexion prior surgeri  motion without load prefer environ articular cartilag heal 461,non steroid non surgic treatment l5s1 disc hernia 461,nan 461,hernia  physic therapi  ibuprofen  surgeri  laparoscop surgeri  exercis
462,yes infect without pain  mention pressur discomfort discolor urin could sign infect 462,doctor said uti symptom prescrib antibiot without perform urin cultur  concern 462,nan 462,urinari tract infect  urin  urin cultur  antibiot
463,depend caus mani thing caus callus  reason one may develop callus include: viral infect wart  friction  pressur  repedet trauma  limit joint motion  genet condit may also caus peopl develop callus hand feet  treatment depend caus problem  evalu profession get appropri treatment 463,callous insid babi toe   hurt realli bad  get get rid 463,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 463,wound  incis  podiatri  callus  bone spur
464,inclus cyst describ inclus cyst like  cancer remov appropri 464,breast biopsi 2 month ago benign lactat chang  feel like feel tini lump clip put 464,nan 464,scar  cancer  cicatrix  breast biopsi  biopsi
465,prodrom certain serious symptom  may earliest stage shingl howev  see physician complet exam ct head neck starter 465,advers reaction bactrium  start get flu like symptom  visibl swollen lymph node neck thatmov hive swollen tongu  still gettingintermitt hive swollen tongu  9 day last pill normal 465,dizzi  back pain  allergi  blister  diabet type 2  depress  amoxil  anxieti disord  asthma  streptococc infect  aerob exercis  depress adult  telemedicin  essenti hypertens  primari care facil 465,flu  hive  hypersensit  enlarg lymph node  swollen gland  swollen tongu  allerg reaction  sulfamethoxazol trimethoprim  allergi  bactrim
466,see dermatologist spot dont heal  bleed  chang size  color  grow rapid may sign skin cancer  best way diagnos melanoma see dermatologist  examin spot determin skin biopsi necessari  fortun mole melanoma 466,two color mole pr definit melanoma 466,vein  cancer  skin cancer  varicos vein  melanoma  sclerotherapi  dermatolog  laser ablat  basal cell carcinoma  skincar 466,mole  melanoma  skin cancer  malign melanoma  suspici mole
467,meniscus tear torn meniscus often caus intermitt symptom  meniscus tear usual heal like meniscus still caus problem 467,tweak right knee play basketbal last year put pressur certain angl  give  could 467,shoulder injuri disord  shoulder arthroscopi 467,imag
468,yes start pill week late may prevent ovul  includ unprotect sex  make pregnanc definit possibl 468,unprotect sex 2213  could pregnanc mistaken cyst right ovari 2202013 468,pap smear  uterin diseas  femal infertil  pregnanc risk 468,sex  healthi pregnanc  pregnanc  femal health
469,durat chang skin issu common  male breast unusu  use exclus older men  camp lejeun cluster marin  famili vet suggest environment toxin  lump chang  id worri less  enlarg  red  pain  see surgeon  cancer usual pain  need remov sent path analyz 469,common cyst form nippl male swell oneday   next day smaller  worri male breast cancer 27 yr old male 469,lung cancer  radiat therapi  small cell lung cancer 469,breast cancer  breast carcinoma  cancer  male breast cancer
470,growth factor medic increas white red blood cell count affect chemotherapi  oncologist discuss  specif guidelin use 470,raloxefen breast cancer treatment help bone osteoporosi build new bone   prevent hip spine fractur 470,cancer  leukemia  bone marrow transplant  chemotherapi  multipl myeloma  amyloidosi  aplast anemia  stem cell transplant 470,heart diseas  breast carcinoma  breast cancer  osteoporosi  cancer  estrogen  evista  femal health  cancer treatment  medic oncolog
471,need exam that broad set symptom could varieti thing  tmj  neck arthriti  infect  thing  get evalu person  fever unexplain weight loss difficulti normal activ  get check right away 471,sinus caus teeth ach lower bottom dull  ach bad gum  fibro  herniat disc   headach  runni nose  see ent dentist 471,pain manag  mind medit  integr medicin  physic medicin rehabilit  physic rehabilit  guid imageri  fibromyalgia  spine manipul  chronic pain 471,rhiniti  headach  herniat disk  bulg disk  fibromyalgia  runni nose  orthoped surgeri  ent head neck surgeri  dentistri  periodont
472,debat coq10 ha sbeen claim dto benefit heart even scientif proven  benefit help control cancer  would wast money give coq10 mother 472,angelina joli brca test  doubl mastectomi oophorectomi mean averag woman 472,breast cancer  oncolog  malign melanoma 472,mastectomi  femal health
473,need control high blood pressur need proper treat prior proceed surgic procedur  evalu primari care physician proceed breast augment surgeri 473,might go find doctor special breast augment cosmet surgeri 473,breast augment  botox  liposuct  tummi tuck  breast reconstruct  male breast reduct  breast reduct surgeri 473,plastic surgeri  cosmet breast surgeri  surgeri  cosmet surgeri  breast augment
474,right high blood pressur without symptom pose health risk need better control 474,brain aneurysm coil  bp low 88 46 puls 100 daili headach dizzi 474,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 474,dizzi  headach  aneurysm  brain aneurysm  blood pressur  vertigo
475,get done birads4 mammogram describ find consist possibl cancer breast  lesion may suspici cluster microcalcif would necessarili seen mass ultrasound  import area biopsi 475,breast biopsi report said took 4 biopsi patholog report said 3 core measur 89cm  arent 4 core 475,colonoscopi  egd  breast biopsi  varicos vein  gi surgeri  abdomin surgeri  venous insuffici  gastric band  varicos vein leg  weight loss surgeri  lap band surgeri 475,radiolog  breast biopsi  biopsi
476,see doctor may allerg reaction infect need evalu doctor  may need antibiot  tri warm compress till seen 476,rash inner top foot  red  dri  itch hot water hurt bad  eczema possibl athlet foot 476,diabet  women health  hyperlipidemia  hypertens 476,skin rash  red skin  dermat  athlet foot  athlet  eczema  rash
477,avoid sedituv avoid alcohol sedat  avoid smoke  lose weight  avoid sleep back  dont work  need see sleep physician decid need sleep studi  medic solut includ cpap  surgeri oral applianc 477,anyth done reduc elimin snore   husband doesnt sleep apnea snore prevent us share bed 477,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 477,snore  sleep apnea  apnea  sleep
478,extract rootcan swollen face infect teeth come infect nerv insid tooth  take antibiot help decreas swell slight remov sourc infect infect tooth  solut either extract infect tooth perform root canal therapi follow crown placement 478,famili friend infect wisdom teeth   amoxicilin 500 mg capsul prescrib dentist  rash face ok 478,porcelain veneer  cosmet dentistri  dental health  partial dentur  teeth whiten 478,skin rash  rash  antibiot  wisdom teeth  dentistri  amoxicillin
