0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
305,absolut lymph node check doctor internet 305,week ago right big toe start hurt bad  could bare walk   sinc thanksgiv  red  swollen pain  ingrown toe 305,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 305,red skin  gout  ingrown toenail  bunion  cancer  gait
306,usual breast cancer come back lung usual requir chemotherapi  depend type breast cancer  quick grow  whether multipl spot one spot  breast cancer lung mean microscop cancer spread bodi  wholebodi treatment like chemo hormoneblock therapi necessari best result 306,lumpectomi breast cancer chemo drs want radiotherapi   dont want anymor treatment 306,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 306,breast cancer  breast carcinoma  cancer  radiat oncolog  femal health  medic oncolog  gamma ray  lumpectomi  chemotherapi  irradi
307,muscl achesbrainca individu age group would like knot shoulder neck muscl radiat head give regular headach  brain cancer usual caus balanc chang  headach  nausea  seizur  focal neurolog chang  realli need massag neck shoulder regular basi tri relax deep breath 307,ive nauseat dizzi headach week  doctor think brain tumor  odd one  knowledg 307,cancer  breast cancer  prostat cancer  radiat oncolog 307,dizzi  nausea  malais  headach  neoplasm  slur speech  cancer  brain tumor  vertigo
308,hormon period 2 month person age usual pregnanc proven otherwis  confirm negat pregnanc test  need exam realli assess symptom  doctor look possibl ovarian cyst  probabl hormon imbal might easili remedi  way  new food supplement consid counter med vitamin 308,ive blood stool diahrea constip abdomin pain lower back pain cyst increas urinari frequenc abnorm period abdomin bloat frequent fever night sweat horribl cough none doc find anyth wrong endoscopi 308,well lifestyl  work life balanc  dvt prophylaxi  lifestyl chang  hypertens 308,constip  cough  abdomin pain  abdomin bloat  abdomin discomfort  back pain  diarrhea  fever  mens  irregular period
309,caution cautious anxiolyt  help  best use shortterm addict  perhap better long term strategi would understand afraid thing happen happen father  risk factor may entir differ may realli risk  also  consid increas celexa 20 g day 309,start celexa 40 mg 4 day ago   anxieti increas last coupl day   take xanax take edg away calm 309,dengu fever  human immunodefici virus  malaria  atroph vagin  transferrin  lipoprotein  st elev myocardi infarct 309,feel anxious  citalopram  anxieti  xanax  celexa  calm  alprazolam
310,yes    unfortun mani men problem prematur ejacul sperm come fast  dont even get chanc penetr  even clear  slipperi liquid precum contain sperm   happen 8 second  would recommend check hpt  negat  retest 57 day  good luck 310,ectop pregnanc got miscarri hcg was130  week  bleed stop  brown discharg bleed like light period  could 310,children health  exercis  diabet  chronic high blood pressur  musculoskelet problem 310,mens  ectop pregnanc  healthi pregnanc  femal health  pregnanc
311,resp  infect sound like respiratori infect  usual viral  pain ear due either ear infect  simpli pressur build ear nasal sinus congest  fluid eustachian tube subsequ fluid pressur middl ear chamber  tri decongest  push fluid  high fever better 10 day  see doc 311,21 old boy  2 ear infect  high fever  bad cough  runni nose  congest  irrit  sore throat  loss appetit amoxil 3 chang 311,femal health  depress  anxieti  male health  sexual transmit infect  sexual transmit diseas  children health  contracept  menopaus  adolesc health  bipolar disord  manic depress disord  gastroesophag reflux diseas  perimenopaus  holist medicin  adolesc develop  pediatr 311,rhiniti  ear infect  cough  appetit  fever  sore throat  fussi  throat pain  otiti interna  high fever
312,yes new chemotherapi agent introduc  also newer type rmachin techniqu  howev regard radiat exact problem versus 13 year ago treatment might exact 312,im factori worker job requir stand 8 hrs sometim carri heavi thing breast cancer stage 3 alreadi done chemotheraphi  radiat last  feb year still 4 session herceptin  g 312,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 312,breast cancer  breast carcinoma  cancer  irradi  radioact  trastuzumab  herceptin  gamma ray  chemotherapi  femal health
313,hernia repair caus much damag experienc increas pain bulg need see surgeon  tri lift anyth heavi 6 week post surgeri 313,told today surgeon weakend spot abdomen wall unabl bridg mesh hernia surgeri juli   hernia form weakend spot 313,surgeri  cosmet surgeri  scar  cancer  plastic surgeri  breast implant  tummi tuck  liposuct  tuck  breast augment  cosmet  hernia  breast reconstruct  botox  facelift  eyelid lift  plastic cosmet surgeri  breast enlarg surgeri 313,hernia  hernia repair  hernia surgeri  surgeri  bridg
314,probabl especi heart surgeri bypass  leg vein often remov use heart bypass  vein drain blood leg  vein remov  may circul metabol problem tend go along heart circul diseas also caus swell  may also due local problem foot relat heart procedur  need check 314,sir  25  hydrocel problem past year actual afraid surgeri dont know whether affect marri life 314,bunion repair  ingrown toenail  orthot  heel pain  foot pain 314,hydrocel  surgeri  male health
315,like hemorrhoid  could also diverticular bleed  low rectosigmoid arterioven malfom  trauma  tumor  coliti      yore much bleed  sen asap 315,colon cancer continu bleed stop havent rectal bleed year bright red rectal blood  im 26 315,colon rectal surgeri  laparoscop gallbladd remov  anti reflux surgeri  da vinci robot surgeri  hernia repair 315,red skin  rectal bleed  cancer  colon cancer  colon
316,definit present sound like bacteri  howev either produc pus tonsil symptom describ  would get seen dr urgent care rapid strep test done sure need antibiot 316,son tonsil swollen  bleed white spot sore throat fever take doc antibiot work 316,health educ  sex educ  emerg medic care  women health  men health  child health  blood donat  sexual transmit infect  healthi pregnanc  educ  diabet  cough  supplement  dizzi  numb  vitamin supplement  diabet type 2  vertigo  emerg rescu 316,throat pain  sore throat  fever  children health  antibiot
317,see spine surgeon pain specialist 317,decompress laminectomi l3 l4  l4 l5  l5 s1 9 25 12 tri sleep  wake everu hour horribl pain 317,sport medicin  diabet foot  heel injuri disord  bunion repair  topic medic laser treatment 317,asthenia  scar  spinal stenosi  decompress  orthoped spine surgeri  sleep  laminectomi  decompress laminectomi
318,yes small cancer spread standard radiat radiosurgeri cure lung cancer     standard care surgeri  advanc cancer radiat cure effect chemotherapi  refer nonsmal cell type lung cancer 318,life expect lung cancer gone brain  pet scan show cancer  1 tumor brain  surgeri whole brsin radiat 318,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 318,neoplasm  cancer  lung cancer  neurosurgeri  pet scan  pet  radioact  irradi  gamma ray  surgeri
319,ear infect likey ear infect ear drainag  earach swollen  pain post auricular lymph node  could wisdom tooth  pleas see doctor asap  feel better 319,headach ear ach swollen jaw  could 319,children health  diarrhea  vaccin  pimpl  pediatr  otiti media  earach  ear infect  burn  asthma  lead poison  childhood immun 319,earach  headach  oral surgeri  oral maxillofaci surgeri
320,sore throat appear canker sore also call aphthous ulcer usual clear may recurr differ area recur problem see ent surgeon cauteri silver nitrat heal faster 320,strawberri look like tongu sore throatpharyng low fever night  diseasewhat caus 320,thyroidectomi 320,throat pain  fever  sore throat  pharyng
321,see doctor simpl flu someth much omin  see doctor 321,3 week  constip  bloat  gas  distend abdomen  nausea  headach  extrem fatgu  dizzi  test  pregnant   advic 321,carpal tunnel syndrom  neck pain  pain joint  fibromyalgia  tingl  osteoarthr  numb  radiculopathi 321,constip  dizzi  abdomin bloat  flatul  pass gas  headach  nausea  pregnanc  fecal retent  vertigo
322,      wateri  clear  odorless discharg sign pregnanc 2 day prior although may pregnant earlier previous unprotect sex  instead  like sign sexual transmit diseas infect noth  best go see famili doc exam  test  start form contracept unless want child 18yo  make wear condom 322,im 4week pregnant want medic abort cos surgic one 3mths ago wat take   uterin fibroid 322,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 322,uterin fibroid  sex  obstetr  contracept  birth control  obstetr gynecolog  surgeri  healthi pregnanc  pregnanc  fibroid
323,yes absolut especi lower one  see dentist determin may caus vertigo 323,ear infect caus intens tooth ach tooth extract along lower jaw line   cant bear eat touch area 323,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 323,earach  ear infect  tooth pain  tactil  dentistri  otiti media
324,depend  mayb digit mammogram standard mammogram  sometim ultrasound may ad get inform  especi dens breast tissu  younger women dens breast  mammogram may done go straight ultrasound  breast radiologist breast surgeon abl make appropri recommend 324,lump right breast  get help quick wait long line mammogram 324,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 324,breast surgeon  ultrasound breast  digit mammogram  femal health  mammogram
325,possibl pain surgeri last week  person differ pain toler  followup dental surgeon safe continu care  best wish 325,sore jaw line week  first thought wisdom tooth get infect seem fine  see doc 325,urinari tract infect 325,dentistri
326,let rx sciatica 20% peopl psoriasi develop similar form arthriti involv spine  thus  would recommend treat sciatica w either antiinflammatori like motrin get md like spine specialist possibl neuropath medicin may also mri emg get data consider epidur inject time core pt  keep post 326,could pain right rib cage radiat back liver troubl  gall bladder remov 7 year ago 326,back pain  arthriti  pain back  pain joint  physic therapi  knee pain  orthoped surgeri  numb  herniat disk  cardiolipin igm  dementia 326,bladder
327,yes possibl pop click joint difficult elimin  even surgeri  pain lock limit open troubl close   may live pop  conserv treatment help diminish cut pop  seek tmj tmd specialist 327,tmj  jaw shift left make sound left jaw  pain  also swollen pea size growth front left ear 327,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 327,tmj syndrom
328,direct link breast cancer spread lung  rare  lung cancer spread breast  lung cancer estrogen progesteron receptor posit 328,breast cancer  sentin lymph node biopsi decid procedur lumpectomi mastectomi 328,cancer  lung cancer  esophag cancer  surgeri  thorac outlet syndrom  minim invas thorac surgeri  video assist thorac surgeri  robot thorac surgeri  thorac neoplasm  thoracoscopi  collaps lung  video assist thoracoscopi  ct scan  pet scan  pleural effus 328,breast cancer  breast carcinoma  cancer  femal health  lumpectomi  lymph node biopsi  mastectomi  sentinel lymph node  biopsi
