0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
534,depend well surg work much militari want extra bone flat foot deform caus tarsal bone apin 534,pain upper left near rib  flutteri right near rib  nausea sensit breast pelvic discomfort pain  dark area areola   negp 10 day ago 534,vitamin defici  vitamin  osteoporosi  total knee replac  foot surgeri  joint replac surgeri 534,nausea  pelvic discomfort  hormon
535,lactos lactos intoler lack intestin enzym call lactas inabl digest lactos  sugar found milk dairi product  babi born lactas enzym lactos intoler occur age 3 older  symptom bloat  cramp  diarrhea  nausea poor growth children  race asian african american suscept lactos intoler caucasian  2%3% infant milk allergi good news mani outgrow 35 year age  milk allergi actual bodi immun system recogn cow milk protein intestin foreign substanc caus symptom like loos  sometim bloodi stool  irrit  vomit food refus  usual occur first month life  incid milk allergi lower breast fed babi formula fed babi  babi react cow milk protein transfer mother milk dairi mother diet  breast feed best continu restrict elimin milk dairi product diet  make sure get enough calcium nondairi sourc legal disclaimer: provid general basic inform public servic respons question constitut doctorpati relationship  addit inform  advic  specif concern  pleas speak physician  inform provid current date answer entri 535,gyn doctor  what partial hysterectomi mean uterus left cut half  fibroid need surgeri  want organ 535,nan 535,uterin fibroid  hysterectomi  surgeri  complet hysterectomi  partial hysterectomi  incis  salpingo oophorectomi  fibroid
536,possibl lesion isol less like herpet  usual come cluster  said  still possibl herp   may return point spot  one possibl caus small abcess  occur sweat gland  hair follicl small cyst usual resolv  see doctor consid blood work evalu 536,use total joint replac case chronic ankylos spondil best remedi suggest deal chronic ankylos spondil 536,diabet  patient empower  immun 536,spondyl  artifici joint  ankylos spondyl  humira  remicad  prednison  plaquenil  methotrex  liquid pred  leflunomid
537,genotyp ask gi doctor hepatologist genotyp hep c medic could help erad diseas  also check pharmaceut compani get expens med reduc price compassion use letter doctor qualifi 537,hand still swell carpal tunnel surgeri 7wks ago 537,surgeri  gallston  asthma  cough  difficulti breath  home pregnanc test  hydrocel  thyroxin  foot swell  gastroenter  exercis  anemia 537,surgeri  carpal tunnel syndrom  carpal tunnel surgeri  carpal tunnel releas
538,assum 5 day pass sinc question post  swell non issu  initi use icepack help first day  heat might help  also antibiot anti inflammatori medic prescrib doctor help  sorri delay respons hope inform help 538,knee surgeri caus swollen foot 538,nan 538,swollen foot  surgeri  knee surgeri
539,yes yes  bright red blood stool dark color stool could caus mani factor  blood stool see physician thorough evalu 539,pain upper back pain spot touch b w shoulder blade spine  1 5 month  chest ct normal  smoker  lung cancer 539,cancer  radiat oncolog  prostat cancer 539,arthriti  pain joint  inflamm  cancer  lung cancer  smoke  tactil  quit smoke  ct chest  comput tomographi
540,could review symptom primari care doctor adequ treatment plan set  best luck 540,headach 4 pm  5  didnt take anyth  took excedrin around 4 didnt help  took maxalt mlt around 5 help  take excedrin maxalt migrain 540,obes  anti age medicin  sport medicin  dermatolog 540,headach  migrain headach  migrain  rizatriptan  bone spur  comput tomographi  ct scan  maxalt mlt  maxalt  septoplasti
541,possibl break could stress fractur heel ankl bone  need get xray podiatrist determin reason  caus tendon area  bursiti achill tendon name  serious runner  need good sport podiatrist help get back run quick 541,mother breast cancer surgeri 3 month ago take arimidex  lost 2kg weight  problem 541,plantar fasciiti  ingrown toenail  hammerto correct  morton neuroma  bunion remov 541,appetit  breast cancer  breast carcinoma  cancer  lose weight  surgeri  arimidex
542,medial elbow pain also consid cubit tunnel syndrom 542,one cant sleep without trazodon  sleep trazodon  count sleep hang long wake 542,elbow surgeri  hand surgeri  shoulder replac  shoulder injuri  total shoulder joint replac  shoulder arthroscopi 542,insomnia  sleepi  hangov  drowsi  melatonin  ramelteon  benadryl  antihistamin  trazodon  sleep
543,fall yes  possibl fractur  see orthopedist go er evalu 543,im 36 week pregnant itchi rash arm thigh  also itch belli pant sit 543,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 543,itchi rash  rash  skin rash  small skin bump  obstetr  plaqu  pregnanc  dermatolog
544,throat sound like canker sore may bacteri viral cmv  go awhil check 544,pain drain dental abscess dentist offic 544,nan 544,abscess  dental abscess  tooth abscess
545,breast bud would rare 15 year old develop breast cancer  lump breast bud develop puberti discuss concern doctor 545,histori elev blood protein8 38 7 sinc 09  recent spep elev gamma globulin  would pcp refer hematologist 545,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 545,inflamm  electrophoresi  plasma cell  protein electrophoresi  protein  hematolog
546,virus sound like virus gone chest given bronchiti  continu antibiot take otc cough med  drink lot water  cough get wors go see doctor listen chest 546,get pain intens itch middl toe foot toe dri  okay  sweati  itch  likeathft never spread  alway toe  theathft medicin useless  sometim badthat wis 546,nan 546,eczema  rash  skin rash  blood vessel injuri  neuroma  insur  nerv injuri  steroid  urgent care
547,imitrex side efftect back head neck feel hot typic imitrex side effect  sometim whole bodi feel cold  symptom mix two still imitrix  rare carcinoid syndrom may give symptom  definti talk dr  prescrib imitrex 547,stop snore treatment stop feel asham sleep friend 547,migrain headach  strabismus  refract surgeri  retin disord  corneal transplant 547,overweight  snore  sleep apnea  apnea  lose weight  lose weight  afrin  oxymetazolin  snore  sleep
548,like yes period yove contact 56 week ago none sinc yove period time high like yore pregnant  negat ultrasound negat hcg test evid there practic noth  use oral contracept would reduc probabl pregnanc even  alway see doctor yore still unsur  best luck 548,produd disc l5s1 sciatica buttock leg  hip testicl pain  im late feel fatigu time  link disc 548,infecti diseas  healthi live  head neck cancer  endocrin disord 548,fatigu  asthenia  herniat disk  leg weak  lethargi  testicular pain  chronic fatigu  nerv  testicl pain  sciatica
549,see specialist mri brain need special brainstem cut  effect concuss cumul symptom may mean sever diagnos  sinus eval  balanc eval  ear eval  jaw eval  caus concuss  head neck injuri often result headach caus need work doc familiar brain trauma pmr vs neurologist 549,mammogram sonogram done forlarg breast 549,nan 549,sonogram  mammogram  ultrasound breast  digit mammogram
550,back pain much  miss period unprotect sex  check pregnanc test  best wish 550,realli bad chest pain  light head  dizzi yet feel realli heavi    tingl sensat left arm 550,urinari tract infect 550,chest pain  dizzi  tingl  vertigo  hydrat
551,rheumatologist see rheumatologist diagnosi proper treatment 551,toothach caus headach dizzi im experienc symptom day  tooth puls hard chew 551,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 551,insomnia  tooth pain  headach  dizzi  dental pain  immun diseas  vertigo  dental cari  sleep  dental health
552,various option surgeri good option symptom continu  especi recurr arm symptom  fail antiinflammatori medic  physic therapi includ cervic traction  cervic epidur inject 552,tbree day ago eye hurt last nite got migrain imitrx help back head neck feel like burn hot bodi freez 552,lumbar radiculopathi  cervic radiculopathi  spine surgeri  cervic spine stenosi  cervic myelopathi  cervic spine  lumbar spine stenosi  cervic spine injuri  back injuri 552,migrain headach  migrain  aura  imitrex  nerv  freez  decompress  surgeri  occipit neuralgia
553,solid nodul requir biopsi  let hope pray malign 553,told breast feed 64 hour nuclear stress  need pump milk cycl 553,nan 553,stress  feed  breastfeed
554,yes hyperinfl lung suggest asthma  peopl hyperventil asthma attack lead lightheaded time tingl hand feet  howev unusu constant lightheaded even hyperventil nocturn sob typic asthma  need consult doctor 554,hurt ankl bad 30 day ago doc said like wasnt sprain got xray  wasnt fractur still sore fast worri 554,allergi  asthma  skin rash  allerg reaction  rhiniti  celiac diseas  dermat  immun diseas  atop dermat  black mold allergi 554,sprain strain  magnet reson imag  mri  sprain
555,yes come back one lesion radiosurgeri indic  come back extens chemotherapi hormon therapi need  situat radiat use help symptom cancer came back 555,common mild trochanter bursiti  sacroiliac degen arthriti l5s1 facet arthropathi indic combin 555,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 555,arthriti  pain joint  joint pain  arter  degen joint diseas  inflamm  physic therapi  trochanter bursiti  autonomi  osteoarthr
556,yes consid blepharoplasti dri eye need treat surgeri 556,abcess tooth extract  bone graft 556,lasik  cataract surgeri  dri eye  corneal transplant 556,abscess  tooth abscess  bone graft  graft
557,unusu would quit unusu made need prednison  check lung specialist get cxr 557,root canal temporari fill top tooth fell  go back dentist 557,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 557,dentistri  bacteria  root canal
558,ra methotrex good drug ra other avail discuss rheumatologist 558,epidur inject low back pain l5 s1 disk herniat usual help patient procedur epidur inject 558,bunion  diabet foot  ankl fractur  foot surgeri  ankl surgeri  ankl disord 558,back pain  herniat disk  low back pain  pain back  sciatica  csf  epidur inject  epidur  nerv
559,pain go sometim thing dont show must attempt treat may appear obvious clinic judgement lead us  test rule patholog  trigrmin nerv face complic nerv bodi  caus sensat  movement  multitud inerv  nerv caus symptom point need see root canal work 559,abdomin painright side pelvi  back pain  nausea  weight loss  hemorrhoid seen red blood tp  could colon cancer 559,nan 559,abdomin discomfort  back pain  nausea  abdomin pain  cancer  colon cancer  colorect cancer  lose weight  belli pain  colon
560,mgt vision chang  would advis see opthalmologist immedi  may anoth caus vision chang 560,bruis like blotch seem skin  appear night top breast  symptom skin cancer etc 560,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 560,mole  skin cancer  melanoma  cancer  nodul  recent traumat event
561,yes acetamenophen: neonat 1015 mg kg everi 68 hour max 60 mg kg day  infant children: 1015 q 46  >12 yrs 325650 q 46 hrs max 4 gram day  ibuprofen: 612 month 510 mg kg everi 68 hrs children  follow label doubt  talk pediatrician pcp ask pharmacist 561,get health anxieti  particular heart anxieti  ekg  echo   stress test came back normal along blood work  help 561,vasectomi  men health 561,stress  feel anxious  stress test  stress echocardiographi  echo  anxieti
562,yes uti without pain may slight symptom  urgenc feel like pee noth come  hematuria blood urin symptom  urin check symptom 562,62  fell  hit head tub concuss   sinc  neck pain  told arthriti  never pain happen   normal 562,asthma 562,pain joint  neck pain  arthriti  asymptomat  cervic spondylosi  neurolog problem  natur remedi  physiotherapi  concuss  pain medic
563,like acn may treat antibiot retinoid  peopl help frequent wash face soap  see site info topic self care suggest  http:  www ncbi 563,almost 2 month tooth fill sensit bite crunchi thing pain  normal 563,cancer  nutrit  cervic cancer  ovarian cancer 563,nan
564,mention like answer question: reflux  tri antacid like pepcid zantac  gallbladd could also problem  still  antacid dont work  see doctor  may need ultrasound gallbladd  hope help 564,ct scan show small lung nodul  ive 3 chest xray prior noth show  happen determin cancer 564,sprain  sprain strain  anxieti  sore throat  broken bone  headach  throat pain  sleep  abscess  depress  sonogram  acetaminophen  stress  mole  allergi  hernia  dental pain  nutrit  panic attack  gonorrhea 564,lung nodul  cancer  pet  nodul  ct scan  comput tomographi  pet scan  biopsi
