0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
293,see dentist infect  need treat  pop reliev pressur feel cure infect  pleas see dentist get treat  without treatment thing progress get wors  may much pain drainag  infect still  effect rest bodi 293,pop dental abscess think dental abscess  soft squishi  doesnt realli hurt annoy  alreadi tooth drain whatev dentist  pop use steril needl 293,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 293,abscess  tooth abscess  dental abscess  dentistri
294,year begin @ 40 mammogram remain best test screen breast cancer  us expert advis start 40 10 yrs younger close famili member breast ca  lump describ sound classic fibrocyst changes: lumpybumpi breast tissu sensit hormon chang  find new lump  alway best see gyne primari care dr  extracauti 294,often receiv mammogram 29 year old  knot right breast sinc 2007  dr say caus caffin get sore sometim first knot remov came back non cancer cancer cell wher 294,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 294,cancer  mammogram  ultrasound breast  digit mammogram
295,yes yes  sinc cant radiat twice breast  women need mastectomi cancer return breastspar surgeri  sever reconstruct option previous radiat  depend breast tissu respond radiat  talk plastic surgeon option 295,cancer come back breast breastspar surgeri  need mastectomi abl breast reconstruct even though radiat 295,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 295,breast cancer  cancer  gamma ray  radioact  irradi  surgeri  breast radiat  lumpectomi  femal health  breast reconstruct
296,pacifi better like late  child alway access thumb  signific harm especi respiratori pattern facial growth pattern genet problemat  pacifi usual smaller bear less weight thumb  suck habit tend narrow upper jaw caus front tooth occlus harm 296,suck pacifi better babi dental health suck thumb daughter suck thumb time  weve heard damag child teeth  sinc pacifi softer  hope could someho 296,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 296,respiratori system  facial  pacifi  dental health  children
297,possibl neuropathi depend affect nerv  symptom diabet neuropathi rang numb tingl sensat  possibl burn sensat  uncomfort pain sensat extrem  neuropathi may affect digest system  urinari tract  blood vessel heart  peopl  symptom mild other  pain disabl 297,constant tingl leg pain could  diabet  last three month tingl pain buttock way foot  left side  hurt sit lay 297,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 297,leg pain  tingl
298,knee one time acupunctur might help wont hurt tri  check famili doc referr orthopedist 298,besid surgeri altern knee pain  becau 88 year old femal  good health fear possibl  stroke surgeri  tri mani pain reliev noth seem help  also neuropathi feet  dia 298,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 298,knee pain  cerebr vascular accid  stroke  nerv damag  neuropathi  pain medicin  pain reliev  surgeri
299,cold stop heat switch cold pack  heat may make swell  cold opposit  follow dentist instruct includ warm salt water rins 299,dental abscess leak dental abscess drain two day ago  im antibiot told come back week  lay today heatpack jaw sore tast someth weird  look mirror 299,child health  gum diseas  gingiv  inflamm gum  bleed  dental implant  dentistri  surgeri  vitamin supplement  abscess  gum bleed  tooth abscess  vitamin  dental health  bad breath  dental care  skin  hair nail  periodont  teeth clean  home remedi 299,abscess  tooth abscess  dental abscess  dentistri  antibiot  sodium
300,alway alway abl contact dentist concern treatment recoveri  though sound go well  antibiot general take 48  72 hour kick start make feel better  howev  small percentag case respond particular antibiot use infect actual get dramat wors quick  contact dentist question regard 300,serious troubl five teeth pull 15 hour ago least two abscess  dentist could drain pull pus still hard  anti biotic 41 hour  pus drain ove 300,cosmet dentistri  periodont 300,abscess  pus  tooth extract  dentistri  antibiot
301,crack crack teeth often hard detect  clue use xray normal include: 1  prior restor fill pain bite suggest crack fractur  2  use tooth sleuth bite stick test differ corner tooth could detect weak point  3  cbct cone beam ct help visual fractur 4  pulp test determin particular tooth sensit thermal stimuli teeth 301,sound like crack tooth syndrom bite chew hard thing  hurt left rear mouth dentist couldnt find anyth xray  said caviti  cant figur reason would hurt 301,tooth pain  root canal  ach  tooth abscess  dental pain  abscess  dental abscess  surgeri  numb  headach  crack tooth syndrom  anesthesia  dentistri  drug test  urin drug screen  hycodan  tmj syndrom  acetaminophen  tylenol  femal health 301,crack tooth syndrom  dentistri  human bite  caviti
302,might tmj mani thing could  sometim signific clench teeth caus muscl spasm  temporali muscl go along side head hair  tri ibuprofen everi six hour  tri cold pack along sore part head  eat soft diet  awar might clench teeth   see tmj bite dentist help break spasm 302,get bad headach month top head pressur feel  head feel sore touch  like hair sore  could beseri 302,cosmet dentistri  tmj syndrom  dentistri  dental care  teeth whiten  dental implant  cosmet  tooth pain  porcelain veneer  sleep apnea  obstruct sleep apnea 302,headach  muscl spasm  spastic  tmj syndrom  children motrin  motrin  low temperatur  analges  diet  rufen
303,orthot  exercis sometim orthot cushion shoe may helpinclud soft mat surfac stand  tri keep move stand  eas  rest period  stretch shin calv period obesethi contribut lose weight would appropri  orthot 303,pain knee    feet 9 hrs  walk  bend squat     im rest tend hurt worst   shin calf achespain 303,podiatri  orthot  well lifestyl  athlet foot  knee pain  physic rehabilit  hammer toe  pain joint  arthriti  tenosynov  reactiv arthriti  ach  hammer toe repair  foot surgeri  hammerto correct  children health  foot swell  ecchymos  bruis  sprain 303,knee pain  obes  mens  lose weight  squat  orthot
304,see herp simplex common virus found human  two main type  refer type type ii  igg stand immunoglobulin g   antibodi found human bodi  igm immunoglobulin   anoth antibodi  show earli infect use differenti certain type infect 304,definit descript of: herp simplex ii igg igm 304,sleep  sleep apnea  abscess  tooth pain  snore  apnea  cosmet dentistri  cold sore  herp simplex  canker sore  dental cari  malocclus  dental care  oral surgeri  diagnost servic 304,cold sore  herp  antibodi  immun globulin  immunoglobulin  immunoglobulin  herp simplex  immunoglobulin g  virus
305,great toe pain consid gout  fractur  sprain  ingrown nail  pain hallux valgus bunion  infect  tumorless like  possibl 305,week ago right big toe start hurt bad  could bare walk   sinc thanksgiv  red  swollen pain  ingrown toe 305,exercis  well lifestyl  sport medicin  knee pain  knee replac  vitamin supplement  total knee replac  total hip replac  weight manag  tendon  patella  sport injuri  acl reconstruct  hip repair  arthroplasti  partial knee replac  sport fit  orthoped brace 305,red skin  gout  ingrown toenail  bunion  cancer  gait
306,discuss concern radiat oncologist  radiat increas chanc cancer come back 306,lumpectomi breast cancer chemo drs want radiotherapi   dont want anymor treatment 306,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 306,breast cancer  breast carcinoma  cancer  radiat oncolog  femal health  medic oncolog  gamma ray  lumpectomi  chemotherapi  irradi
307,unlik noth imposs  classic symptom mass effect brain tumor focal neurolog sign onesid weak  slur speech rather vagu headach nausea dizzi  differenti report vast  brain tumor  distant cotnend 307,ive nauseat dizzi headach week  doctor think brain tumor  odd one  knowledg 307,infecti diseas  human immunodefici virus  recurr infect  urinari tract infect  frequent infect  mrsa  hsv  methicillin 307,dizzi  nausea  malais  headach  neoplasm  slur speech  cancer  brain tumor  vertigo
308,get examin need comprehens workup includ blood test  stool test  possibl colonoscopi  chest xray  urinalysi etc  could ib  pulmonari infect  hormon imbal etc  go see internist may refer gastroenterologist  give us feedback final dx 308,ive blood stool diahrea constip abdomin pain lower back pain cyst increas urinari frequenc abnorm period abdomin bloat frequent fever night sweat horribl cough none doc find anyth wrong endoscopi 308,nan 308,constip  cough  abdomin pain  abdomin bloat  abdomin discomfort  back pain  diarrhea  fever  mens  irregular period
309,perhap run decis discuss dose prescrib doctor first 309,start celexa 40 mg 4 day ago   anxieti increas last coupl day   take xanax take edg away calm 309,anesthesia  numb  neuropathi  pain manag  central venous cathet  airway obstruct 309,feel anxious  citalopram  anxieti  xanax  celexa  calm  alprazolam
310,repeat hcg ectop pregnanc  import repeat hcg test level drop 5 unit 310,ectop pregnanc got miscarri hcg was130  week  bleed stop  brown discharg bleed like light period  could 310,abnorm vagin bleed  contracept counsel  intrauterin devic insert  rotterdam polycyst ovarian syndrom pcos panel 310,mens  ectop pregnanc  healthi pregnanc  femal health  pregnanc
311,may viral ear infect  85%  caus virus wont respond ab  also possibl infect due bacteria that resist amoxil  say 3d amoxil count first day day start medic 2 day worth might need give amox time  good luck 311,21 old boy  2 ear infect  high fever  bad cough  runni nose  congest  irrit  sore throat  loss appetit amoxil 3 chang 311,children health  cough  rhiniti  vomit  autism  autism spectrum disord  itch  itch  diabet  genu valgum  oxygen 311,rhiniti  ear infect  cough  appetit  fever  sore throat  fussi  throat pain  otiti interna  high fever
312,speak doc discuss concern treat oncologist 312,im factori worker job requir stand 8 hrs sometim carri heavi thing breast cancer stage 3 alreadi done chemotheraphi  radiat last  feb year still 4 session herceptin  g 312,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 312,breast cancer  breast carcinoma  cancer  irradi  radioact  trastuzumab  herceptin  gamma ray  chemotherapi  femal health
313,sound like surgeon worri enough possibl inform mesh could correct entir defect time repair 313,told today surgeon weakend spot abdomen wall unabl bridg mesh hernia surgeri juli   hernia form weakend spot 313,low blood count  lymphoma  anemia  fungal infect  acut adult leukemia  multipl myeloma  bone marrow biopsi  aplast anemia  bone marrow diseas  stem cell transplant  graft versus host diseas  chronic leukemia  hla type 313,hernia  hernia repair  hernia surgeri  surgeri  bridg
314,probabl repair hydrocel caus problem sexual perform  surgeon abl give clear idea risk benefit surgeri 314,sir  25  hydrocel problem past year actual afraid surgeri dont know whether affect marri life 314,surgeri  chest pain  chest pressur  angina  chest tight  heart surgeri  mitral valv diseas  mitral valv prolaps  mitral valv repair  bypass surgeri  coronari arteri bypass graft  tricuspid valv repair  heart bypass surgeri  mitral stenosi  aortic stenosi  mitral valv replac  aortic valv replac  heart valv surgeri 314,hydrocel  surgeri  male health
