0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
434,discuss inform provid limit  got ct scan begin import  would general diagnos asthma ct  would concern new diagnosi asthma age 61 without inform  reason seek second opinion experienc pulmonologist  new progress symptom may warrant lung biopsi  http:  goo gl cguwmi 434,cough sputum wheez tight chest  pred  valu spirometri 83%  copd late onset asthma 434,minim invas thorac surgeri  video assist thorac surgeri  robot thorac surgeri  thorac neoplasm  lung cancer  video assist thoracoscopi  thoracoscopi  lung nodul  intervent bronchoscopi  health educ  collaps lung  thorac surgeri  cancer  mediastinoscopi  pleurodesi  thorac surgeon  thymectomi  minim invas surgeri  thymoma  hyperhidrosi 434,asthma  cough  wheez  spirometri  sputum  pulmonari function test  pulmonolog  copd  pediatr pulmonolog
435,bp chang stand bp may rise transient may feel stronger pulsat scalp arteri  check bp sit stand see reaction occur  cours bp high sit stand  must consult physician 435,woosh sound ear like hear heart beat year dr keep say ear infect go awayha bad cant muc 435,nan 435,high blood pressur  ear infect  chronic sinus  blood pressur  otiti media  ent head neck surgeri  hypertens  neurolog
436,fluconazol 150mg singl dose 2100mg tablet singl dose common  recommend 100mg daili three success day  seem effect 436,16 yrs old daughter bother chronic yeast infect take strong antibiot 3 yrs ago ive tri cranberri juic  probiot otc product  new pediatrician prescrib 1 dose oral antifung work  rec 436,urin drug screen  drug test  surgeri  wound care  emerg medicin 436,yeast infect  pediatr  probiot  yeast  cranberri juic  candida  antibiot
437,get need tooth remov soon possibl  antibiot world wont make infect go away  remov sourc tooth  may also need infect drain time remov surround infect  see oral  maxillofaci surgeon treat appropri  remov tooth  drain infect necessari 437,hi  recent bottom back right tooth remov abcess form jaw least 10 day wasnt give pain abit sore touch  dentist remov tooth said abcess go 437,wisdom tooth extract  surgeri  tooth abscess  tmj syndrom  abscess  dental abscess  dental implant 437,abscess  dental abscess  tactil  tooth extract
438,less like ca  fabdomin cramp diarrhea symptom may come various diseas  includ gastriti  food poison  irrit bowel syndrom  parasit infect  diverticul  etc  intoler milk product lactas insuffici anoth caus  symptom continut consult internist gastroenterologist  diagnosi cancer would much less like 438,abigail headach  stomach cramp  diarrhea 24 hour  much urin output  worri head hospit 438,neurofibromatosi 438,diarrhea  stomach cramp  headach  loos stool  urin
439,aneurysm check doc discuss chest ct  father die aortic aneurysm check doc 439,mom pass away due liver cirrosi  hepat b  hepat e  dad also hep b  stand chanc vaccin done 439,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 439,hepat  hepat b  vaccin date  vaccin  antibodi  antigen
440,lymphadenopathi persist enlarg lymph node cervic chain would advis look experienc clinician  quit benign  also suggest potenti problem 440,3 yr old big swollen lymph node one side neck formonth  blood work normal purpl circl eyesposs 440,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 440,nan
441,week  probabl anoth week  vari patient 441,swell one wisdom teeth pain unbear cant afford go dentist get necessari help clinic 441,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 441,dental pain  tooth pain  deal wisdom teeth  oral maxillofaci surgeri  oral surgeri  wisdom tooth extract  wisdom teeth
442,yes suggest asthma 442,mother icu  skin infect mid back left breast  red  hot  rais  blister dark purpl streak  kidney level 15  cardiac enzym high  chest pain  short breath  expect 442,congest heart failur  cardiac arrhythmia 442,skin infect  chest pain  heart attack  myocardi infarct  cardiac arrest  chest tight  chest pressur  multi infarct dementia  kidney failur  esrd
443,swollen finger bar histori trauma  describ symptom consist infect  either way check  treat earli typic get better soon  good luck 443,son 4 year old immunis needl  right arm swollen  red rash  say itchi  get wors 443,carpal tunnel syndrom  tendon  dupuytren contractur  contractur  wrist pain  arthriti  carpal tunnel surgeri  hand surgeri  wrist arthroscopi  wrist injuri disord  occup injuri  rheumatolog 443,skin rash  dermat  rash  children health
444,possbl would suggest see dentist remov tooth dentist special facial pain  could also someth els diagnos 444,right ear ach  right side jaw hurt well right side throat  day 4 take amoxil still relief  pain caus infect 444,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 444,bacteri infect  earach  jaw pain  bacteria  dentistri  antibiot  viral infect  virus  amoxil  amoxicillin
445,need see doctor person   make appoint today 445,ad 10 mg nortriptylin nummular headach 50 mg trazodon insomnia 60 mg cymbalta migrain  felt dizzi  drug  weak stop trazodon  feel better  cant sleep 445,dermatolog  gynecolog  allergi 445,insomnia  restless  dizzi  headach  migrain headach  depress  agit  restless leg  migrain  restless leg syndrom
446,postsurg pain preop new pain sound like either oper wasnt total success new problem crop  either way  see surgeon opinion  could new pinch nerv  hardwar issu fusion  nerv injuri type  get better wors compar pain preop  better wors question discuss w  ur surgeon 446,l4s1 fusion 10 week ago  symptom better new sever r  back pain x1mo   l5   spine r   pain10 10 turn bed   lean l  2   pain  xray ok  insist muscl spasm 446,spinal fusion  spina bifida  chiari malform  hydrocephalus  spinal stenosi 446,back pain  muscl spasm  massag  pain back  fusion  contract  charley hors  twist muscl
447,sure didnt say hpv major genit wart caus human papilloma virus  correl wart hiv peopl  peopl herp hiv  relax made mistak heard wrong 447,get genit wart remov liquid nitrogen  leav dark spot skin 447,children health  child health  healthi pregnanc  depress  deal loss  allergi  famili medicin 447,wart  pigment  genit wart
448,ask dentist treat dentist determin tooth extract 448,bad infect tooth fail root canal  apicoectomi pull tue novacain   doxi sinc sat  feel nauseous dizzi sinc last night 448,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 448,dizzi  malais  nausea  doxycin  doxycyclin  pain medic  doryx  novocain  root canal  pain medicin
449,swell right thing make appoint primari care doctor  type edema normal 449,leg swell knee feet   tender touch   could 449,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 449,leg swell  albumin  tactil
450,pediatrician eczema  pediatrician see dozen case take care easili  usual recommend start good moistur soap dove bath  use fragranc dye free moistur least 23 time daili  benadryl bedtim itch  persist itch patch respond counter 1% hydrocortison use twice daili 1 week 450,sever itchi spot arm  finger  back knee hand  ankl  scratch get white elev nickles spot 450,children health  child health  vaccin  adhd  fever  rash  sudden infant death  sleep disturb childhood  infecti diseas 450,rash  eczema  dermat  psoriasi  allerg reaction  dermatolog  allergi  nutrit  scratch
451,see dermatologist imposs tell without abl see leasion  see dermatologist 451,leg red almost like sunburn  knee ankl arent swollen  dont hurt 451,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 451,sunburn  allerg reaction  allergi  cellul  circul
452,separ condit condit need treat separ  see physician constant headach  neck pain  dizzi  etc evalu  test treatment option  see dentist teeth ach foe examin xray 452,excedrin migrain taken daili constant bad headach affect right eye doctor said eye look fine 452,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 452,headach  migrain headach  migrain  ophthalmolog
453,uncommon like mani part bodi  knee complex structur small toler  menisc repair one side knee  may produc slight mechan chang knee walk activ result addit stress side knee  stress may also produc anoth menisc tear  discuss find doctor 453,tear acl  mcl knee cap disloc  x3week later still cant bend knee past 45*  ive disloc b4 cant rememb recoveri last4ev 453,mri scan  knee pain  nuclear medicin  mri knee contrast  mri arthrogram 453,disloc  patellar disloc  mri scan  autonomi  sport medicin
454,may need ssri ativan like band aid addict  may help insomnia anxieti depress  consult psychiatrist 454,studi much sleepless lead headach like pressur head nervous insomia dizzi  counsult physician 454,diabet  chest pain  diabet diet  hyperlipidemia  bronchiti  essenti hypertens  care elder love one  healthi diet  asthma 454,insomnia  dizzi  headach  feel anxious  nervous  anxieti  caffein  amphetamin  vertigo  exercis
455,stretch first exercis without proper stretch experienc spasm muscl run intercoast muscl  one sit betwwen rib becom spastic caus sharp pain like heart  keep happen need see doctor proper evalu 455,symptom ovarian cyst ectop pregnanc nausea pain left pelvic area pressur tight  unbotton jean 455,surgeri  cancer  hemorrhoid  diarrhea  headach  cough  abdomin pain  dizzi  back pain  constip  anxieti  sleep  pain back  endoscopi  numb 455,nausea  ectop pregnanc  pelvic pain  ovarian cyst  femal health  healthi pregnanc  pregnanc  pregnanc test  ruptur
456,usual    creas incis inframammari safer  lower risk capsular contractur  well 456,prophylact antibiot requir patient heart valv surgeri open incis procedur breast core biopsi 456,breast augment  cosmet surgeri  liposuct  tummi tuck  breast implant  facelift  breast lift  botox  eye lift  chemic peel  laser resurfac  juvederm  laser skin resurfac 456,valv  surgeri  prophylact antibiot  incis  heart valv surgeri  biopsi  antibiot
457,especi weak urethra  tube pee  mani surgic non surgic option  check www voicesforpfd org 457,often vagin birth caus incontin pelvic organ prolaps common problem normal birth 457,incontin  pelvic pain  vagin  live urinari incontin  vaginismus  vulvodynia  bacteri vaginosi vagin panel  bladder pain  manag interstiti cystiti ic  urinari urgenc  frequent urin  fecal incontin adult  bladder control  rectal prolaps 457,stress  stress incontin  incontin  children  vagin birth  femal health
458,stress incontin stress incontin condit women leak urin activ  cough  sneezin     occur weak ligament support urethra  often occur result childbirth occur women never children  current mani treatment option  follow gynecologist  urogynecologist urologist discuss 458,ldl 131 mg dl  hdl 54 mg dl trig 115 mg dl  eat plenti fruit veget  exercis  dont smoke drink bmi 21 458,incontin  pelvic pain  vagin  live urinari incontin  vaginismus  vulvodynia  bacteri vaginosi vagin panel  bladder pain  manag interstiti cystiti ic  urinari urgenc  frequent urin  fecal incontin adult  bladder control  rectal prolaps 458,intraventricular hemorrhag  hdl  ldl  exercis  bodi mass index  bmi
459,complex almost way know sure  infect surgeri differ type may equat inguin henia repair  institut also lot outcom  specialti train  experi  practic focus imolport factor consid  howev also feel confid surgeon  im sorri oper  hope help 459,open inguin hernia surgeri 3 week ago told surgeon lift anyth 30 lbs  two day ago  lift groceri bag weigh 15 lbs  affect anyth 459,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 459,groin hernia  lump groin  hernia  inguin hernia  hernia surgeri  hernia repair  inguin hernia surgeri  surgeri
460,pain control neurontin effect treat nerv pain stop progress peripher neuropathi  typic neuropath pain involv burn pain occur damag nerv  spinal cord  brain  neurontin anticonvuls suppress abnorm neural activ 460,small fiber neuropathi im take 900 mg gabapentin foot pain  help  what chanc max dose help 460,nerv injuri  thorac outlet syndrom  minim invas surgeri  arthroplasti  cervic spine 460,foot pain  nerv damag  neuropathi  neurontin  lyrica  gabapentin  pain manag  fiber
